  PRINCIPAL STRESSES:


  ELEMENT  R-COORD  Z-COORD      SIGMA 1        SIGMA 2        SIGMA 3        ANGLE 
    601     7.50   416.50      0.560618E+03   0.561984E+03  -0.942103E+01   0.365138E+00
    602     8.50   416.50      0.560292E+03   0.561861E+03  -0.853070E+01   0.367954E+00
    603    10.00   416.50      0.559890E+03   0.561685E+03  -0.727592E+01   0.356347E+00
    604    13.00   416.50      0.559412E+03   0.561400E+03  -0.513994E+01   0.301320E+00
    605    19.00   416.50      0.559345E+03   0.561038E+03  -0.269483E+01   0.177211E+00
    606    31.00   416.50      0.559968E+03   0.560793E+03  -0.119560E+01   0.550550E-01
    607    55.00   416.50      0.560474E+03   0.560666E+03  -0.102457E+01   0.920185E-02
    608   103.00   416.50      0.560630E+03   0.560665E+03  -0.973760E+00   0.228910E-02
    609     0.50   417.50      0.562539E+03   0.562557E+03  -0.155112E+02   0.457986E-01
    610     1.50   417.50      0.562423E+03   0.562528E+03  -0.152419E+02   0.134771E+00
    611     2.50   417.50      0.562202E+03   0.562473E+03  -0.147194E+02   0.216311E+00
    612     3.50   417.50      0.561897E+03   0.562396E+03  -0.139810E+02   0.286582E+00
    613     4.25   417.50      0.561632E+03   0.562326E+03  -0.133148E+02   0.330547E+00
    614     4.75   417.50      0.561442E+03   0.562274E+03  -0.128327E+02   0.354839E+00
    615     5.50   417.50      0.561146E+03   0.562190E+03  -0.120662E+02   0.383554E+00
    616     6.50   417.50      0.560758E+03   0.562073E+03  -0.109982E+02   0.408794E+00
    617     7.50   417.50      0.560392E+03   0.561953E+03  -0.992039E+01   0.419685E+00
    618     8.50   417.50      0.560067E+03   0.561834E+03  -0.887215E+01   0.418547E+00
    619    10.00   417.50      0.559686E+03   0.561669E+03  -0.741582E+01   0.398665E+00
    620    13.00   417.50      0.559290E+03   0.561402E+03  -0.506173E+01   0.326720E+00
    621    19.00   417.50      0.559368E+03   0.561070E+03  -0.251742E+01   0.181552E+00
    622    31.00   417.50      0.560054E+03   0.560840E+03  -0.109248E+01   0.533653E-01
    623    55.00   417.50      0.560555E+03   0.560729E+03  -0.947033E+00   0.869142E-02
    624   103.00   417.50      0.560701E+03   0.560731E+03  -0.898099E+00   0.229878E-02
    625     0.50   418.50      0.562546E+03   0.562569E+03  -0.174620E+02   0.547824E-01
    626     1.50   418.50      0.562408E+03   0.562537E+03  -0.171107E+02   0.160954E+00
    627     2.50   418.50      0.562145E+03   0.562478E+03  -0.164353E+02   0.257397E+00
    628     3.50   418.50      0.561787E+03   0.562396E+03  -0.154894E+02   0.339113E+00
    629     4.25   418.50      0.561481E+03   0.562323E+03  -0.146433E+02   0.388956E+00
    630     4.75   418.50      0.561263E+03   0.562268E+03  -0.140348E+02   0.415801E+00
    631     5.50   418.50      0.560931E+03   0.562181E+03  -0.130754E+02   0.446303E+00
    632     6.50   418.50      0.560506E+03   0.562060E+03  -0.117589E+02   0.470817E+00
    633     7.50   418.50      0.560120E+03   0.561939E+03  -0.104561E+02   0.478131E+00
    634     8.50   418.50      0.559792E+03   0.561820E+03  -0.921633E+01   0.471293E+00
    635    10.00   418.50      0.559436E+03   0.561659E+03  -0.753485E+01   0.441096E+00
    636    13.00   418.50      0.559142E+03   0.561404E+03  -0.494754E+01   0.349819E+00
    637    19.00   418.50      0.559387E+03   0.561098E+03  -0.232539E+01   0.184221E+00
    638    31.00   418.50      0.560147E+03   0.560888E+03  -0.987336E+00   0.513762E-01
    639    55.00   418.50      0.560637E+03   0.560792E+03  -0.868249E+00   0.819999E-02
    640   103.00   418.50      0.560772E+03   0.560797E+03  -0.821729E+00   0.230228E-02
    641     0.50   419.50      0.562591E+03   0.562620E+03  -0.198231E+02   0.657870E-01
    642     1.50   419.50      0.562421E+03   0.562584E+03  -0.193641E+02   0.192893E+00
    643     2.50   419.50      0.562101E+03   0.562517E+03  -0.184865E+02   0.307091E+00
    644     3.50   419.50      0.561670E+03   0.562425E+03  -0.172657E+02   0.401895E+00
    645     4.25   419.50      0.561305E+03   0.562344E+03  -0.161848E+02   0.457999E+00
    646     4.75   419.50      0.561049E+03   0.562283E+03  -0.154125E+02   0.487157E+00
    647     5.50   419.50      0.560670E+03   0.562188E+03  -0.142098E+02   0.518553E+00
    648     6.50   419.50      0.560196E+03   0.562059E+03  -0.125843E+02   0.540407E+00
    649     7.50   419.50      0.559786E+03   0.561930E+03  -0.110115E+02   0.541694E+00
    650     8.50   419.50      0.559457E+03   0.561807E+03  -0.954837E+01   0.526756E+00
    651    10.00   419.50      0.559140E+03   0.561647E+03  -0.761701E+01   0.483303E+00
    652    13.00   419.50      0.558974E+03   0.561401E+03  -0.479179E+01   0.370003E+00
    653    19.00   419.50      0.559412E+03   0.561122E+03  -0.212014E+01   0.184978E+00
    654    31.00   419.50      0.560246E+03   0.560937E+03  -0.881183E+00   0.491888E-01
    655    55.00   419.50      0.560720E+03   0.560855E+03  -0.788635E+00   0.774809E-02
    656   103.00   419.50      0.560843E+03   0.560864E+03  -0.744464E+00   0.229541E-02
    657     0.50   420.50      0.562658E+03   0.562694E+03  -0.226971E+02   0.794998E-01
    658     1.50   420.50      0.562445E+03   0.562651E+03  -0.220940E+02   0.232539E+00
    659     2.50   420.50      0.562047E+03   0.562574E+03  -0.209443E+02   0.368401E+00
    660     3.50   420.50      0.561517E+03   0.562466E+03  -0.193582E+02   0.478363E+00
    661     4.25   420.50      0.561077E+03   0.562373E+03  -0.179685E+02   0.541073E+00
    662     4.75   420.50      0.560774E+03   0.562304E+03  -0.169859E+02   0.572103E+00
    663     5.50   420.50      0.560334E+03   0.562198E+03  -0.154685E+02   0.602898E+00
    664     6.50   420.50      0.559805E+03   0.562054E+03  -0.134604E+02   0.619139E+00
    665     7.50   420.50      0.559374E+03   0.561916E+03  -0.115627E+02   0.610922E+00
    666     8.50   420.50      0.559055E+03   0.561786E+03  -0.984343E+01   0.584751E+00
    667    10.00   420.50      0.558797E+03   0.561625E+03  -0.764535E+01   0.524459E+00
    668    13.00   420.50      0.558798E+03   0.561391E+03  -0.459056E+01   0.386463E+00
    669    19.00   420.50      0.559448E+03   0.561142E+03  -0.190530E+01   0.183627E+00
    670    31.00   420.50      0.560353E+03   0.560986E+03  -0.776326E+00   0.468690E-01
    671    55.00   420.50      0.560803E+03   0.560918E+03  -0.709614E+00   0.734827E-02
    672   103.00   420.50      0.560914E+03   0.560930E+03  -0.667357E+00   0.228070E-02
    673     0.50   421.50      0.562720E+03   0.562767E+03  -0.262205E+02   0.968156E-01
    674     1.50   421.50      0.562452E+03   0.562716E+03  -0.254214E+02   0.282354E+00
    675     2.50   421.50      0.561953E+03   0.562625E+03  -0.239041E+02   0.444962E+00
    676     3.50   421.50      0.561297E+03   0.562499E+03  -0.218265E+02   0.572677E+00
    677     4.25   421.50      0.560761E+03   0.562390E+03  -0.200266E+02   0.642093E+00
    678     4.75   421.50      0.560399E+03   0.562311E+03  -0.187645E+02   0.674164E+00
    679     5.50   421.50      0.559888E+03   0.562191E+03  -0.168439E+02   0.701906E+00
    680     6.50   421.50      0.559303E+03   0.562031E+03  -0.143580E+02   0.708059E+00
    681     7.50   421.50      0.558864E+03   0.561880E+03  -0.120775E+02   0.685593E+00
    682     8.50   421.50      0.558576E+03   0.561744E+03  -0.100720E+02   0.644103E+00
    683    10.00   421.50      0.558414E+03   0.561584E+03  -0.759803E+01   0.562896E+00
    684    13.00   421.50      0.558626E+03   0.561367E+03  -0.434093E+01   0.398238E+00
    685    19.00   421.50      0.559503E+03   0.561157E+03  -0.168205E+01   0.180017E+00
    686    31.00   421.50      0.560467E+03   0.561035E+03  -0.671612E+00   0.445092E-01
    687    55.00   421.50      0.560887E+03   0.560982E+03  -0.630765E+00   0.702024E-02
    688   103.00   421.50      0.560986E+03   0.560997E+03  -0.590278E+00   0.226057E-02
    689     0.50   422.50      0.562737E+03   0.562797E+03  -0.305698E+02   0.118606E+00
    690     1.50   422.50      0.562401E+03   0.562739E+03  -0.295063E+02   0.345139E+00
    691     2.50   422.50      0.561776E+03   0.562634E+03  -0.274899E+02   0.541034E+00
    692     3.50   422.50      0.560961E+03   0.562491E+03  -0.247432E+02   0.689785E+00
    693     4.25   422.50      0.560305E+03   0.562366E+03  -0.223896E+02   0.765682E+00
    694     4.75   422.50      0.559872E+03   0.562276E+03  -0.207593E+02   0.797292E+00
    695     5.50   422.50      0.559285E+03   0.562142E+03  -0.183111E+02   0.817923E+00
    696     6.50   422.50      0.558655E+03   0.561965E+03  -0.152330E+02   0.807250E+00
    697     7.50   422.50      0.558236E+03   0.561804E+03  -0.125080E+02   0.764024E+00
    698     8.50   422.50      0.558016E+03   0.561665E+03  -0.101951E+02   0.702219E+00
    699    10.00   422.50      0.558001E+03   0.561513E+03  -0.745371E+01   0.596123E+00
    700    13.00   422.50      0.558476E+03   0.561327E+03  -0.404253E+01   0.404091E+00
    701    19.00   422.50      0.559585E+03   0.561169E+03  -0.145159E+01   0.174210E+00
    702    31.00   422.50      0.560589E+03   0.561086E+03  -0.566578E+00   0.422167E-01
    703    55.00   422.50      0.560971E+03   0.561045E+03  -0.552078E+00   0.676281E-02
    704   103.00   422.50      0.561057E+03   0.561064E+03  -0.513289E+00   0.223450E-02
    705     0.50   423.50      0.562624E+03   0.562699E+03  -0.359650E+02   0.145584E+00
    706     1.50   423.50      0.562214E+03   0.562640E+03  -0.345520E+02   0.423221E+00
    707     2.50   423.50      0.561446E+03   0.562534E+03  -0.318643E+02   0.660983E+00
    708     3.50   423.50      0.560440E+03   0.562385E+03  -0.282011E+02   0.835355E+00
    709     4.25   423.50      0.559640E+03   0.562253E+03  -0.250884E+02   0.917202E+00
    710     4.75   423.50      0.559125E+03   0.562156E+03  -0.229578E+02   0.945717E+00
    711     5.50   423.50      0.558462E+03   0.562013E+03  -0.198184E+02   0.952717E+00
    712     6.50   423.50      0.557820E+03   0.561827E+03  -0.160114E+02   0.915019E+00
    713     7.50   423.50      0.557477E+03   0.561663E+03  -0.127895E+02   0.842379E+00
    714     8.50   423.50      0.557384E+03   0.561529E+03  -0.101693E+02   0.754756E+00
    715    10.00   423.50      0.557582E+03   0.561399E+03  -0.719428E+01   0.620769E+00
    716    13.00   423.50      0.558371E+03   0.561264E+03  -0.370009E+01   0.402776E+00
    717    19.00   423.50      0.559701E+03   0.561178E+03  -0.121757E+01   0.166434E+00
    718    31.00   423.50      0.560719E+03   0.561139E+03  -0.462292E+00   0.401332E-01
    719    55.00   423.50      0.561055E+03   0.561109E+03  -0.472505E+00   0.659551E-02
    720   103.00   423.50      0.561128E+03   0.561130E+03  -0.436420E+00   0.220385E-02
    721     0.50   424.50      0.562190E+03   0.562280E+03  -0.426363E+02   0.177198E+00
    722     1.50   424.50      0.561735E+03   0.562249E+03  -0.407906E+02   0.516076E+00
    723     2.50   424.50      0.560849E+03   0.562186E+03  -0.372340E+02   0.807026E+00
    724     3.50   424.50      0.559645E+03   0.562081E+03  -0.323211E+02   0.101508E+01
    725     4.25   424.50      0.558678E+03   0.561971E+03  -0.281446E+02   0.110252E+01
    726     4.75   424.50      0.558069E+03   0.561883E+03  -0.253201E+02   0.112365E+01
    727     5.50   424.50      0.557348E+03   0.561751E+03  -0.212628E+02   0.110645E+01
    728     6.50   424.50      0.556759E+03   0.561570E+03  -0.165790E+02   0.102603E+01
    729     7.50   424.50      0.556589E+03   0.561419E+03  -0.128416E+02   0.913072E+00
    730     8.50   424.50      0.556712E+03   0.561310E+03  -0.995132E+01   0.794753E+00
    731    10.00   424.50      0.557200E+03   0.561226E+03  -0.681524E+01   0.632376E+00
    732    13.00   424.50      0.558340E+03   0.561176E+03  -0.331850E+01   0.393103E+00
    733    19.00   424.50      0.559859E+03   0.561187E+03  -0.978559E+00   0.157397E+00
    734    31.00   424.50      0.560860E+03   0.561194E+03  -0.357037E+00   0.385478E-01
    735    55.00   424.50      0.561141E+03   0.561174E+03  -0.392359E+00   0.656066E-02
    736   103.00   424.50      0.561200E+03   0.561197E+03  -0.358690E+00   0.217103E-02
    737     0.50   425.50      0.561009E+03   0.561102E+03  -0.507310E+02   0.208855E+00
    738     1.50   425.50      0.560626E+03   0.561172E+03  -0.484400E+02   0.613616E+00
    739     2.50   425.50      0.559778E+03   0.561280E+03  -0.438851E+02   0.971334E+00
    740     3.50   425.50      0.558460E+03   0.561368E+03  -0.373056E+02   0.122981E+01
    741     4.25   425.50      0.557326E+03   0.561387E+03  -0.315800E+02   0.132796E+01
    742     4.75   425.50      0.556606E+03   0.561352E+03  -0.277562E+02   0.133554E+01
    743     5.50   425.50      0.555862E+03   0.561282E+03  -0.224309E+02   0.127476E+01
    744     6.50   425.50      0.555461E+03   0.561141E+03  -0.167499E+02   0.112855E+01
    745     7.50   425.50      0.555618E+03   0.561030E+03  -0.125735E+02   0.963779E+00
    746     8.50   425.50      0.556068E+03   0.560976E+03  -0.951061E+01   0.812794E+00
    747    10.00   425.50      0.556921E+03   0.560982E+03  -0.631359E+01   0.626421E+00
    748    13.00   425.50      0.558413E+03   0.561067E+03  -0.289534E+01   0.376135E+00
    749    19.00   425.50      0.560066E+03   0.561201E+03  -0.734956E+00   0.149312E+00
    750    31.00   425.50      0.561010E+03   0.561252E+03  -0.254474E+00   0.380103E-01
    751    55.00   425.50      0.561226E+03   0.561239E+03  -0.313810E+00   0.672567E-02
    752   103.00   425.50      0.561271E+03   0.561264E+03  -0.281954E+00   0.214181E-02
    753     0.50   426.50      0.144314E+03   0.144893E+03  -0.660535E+02   0.145078E+01
    754     1.50   426.50      0.136834E+03   0.140012E+03  -0.651942E+02   0.464737E+01
    755     2.50   426.50      0.121464E+03   0.129915E+03  -0.637339E+02   0.888989E+01
    756     3.50   426.50      0.982943E+02   0.114449E+03  -0.607576E+02   0.149123E+02
    757     4.25   426.50      0.776301E+02   0.100337E+03  -0.558115E+02   0.208346E+02
    758     4.75   426.50      0.624732E+02   0.901066E+02  -0.510699E+02   0.250589E+02
    759     5.50   426.50      0.411408E+02   0.748798E+02  -0.434225E+02   0.312238E+02
    760     6.50   426.50      0.188786E+02   0.558541E+02  -0.371947E+02   0.402158E+02
    761     7.50   426.50      0.632149E+01   0.409191E+02  -0.341812E+02  -0.397171E+02
    762     8.50   426.50      0.760177E+00   0.297936E+02  -0.330308E+02  -0.300538E+02
    763    10.00   426.50     -0.159162E+01   0.182918E+02  -0.317409E+02  -0.198154E+02
    764    13.00   426.50     -0.111402E+01   0.607892E+01  -0.270698E+02  -0.105358E+02
    765    19.00   426.50      0.144202E+00  -0.919366E+00  -0.156137E+02  -0.702670E+01
    766    31.00   426.50      0.452645E-01  -0.131944E+01  -0.402004E+01  -0.104093E+02
    767    55.00   426.50     -0.996556E-01  -0.504982E+00  -0.395938E+00  -0.440298E+02
    768   103.00   426.50      0.169099E+00  -0.990086E-01  -0.214103E+00  -0.333972E+01
    769     0.50   427.50     -0.428020E+02  -0.440209E+02  -0.922326E+02   0.865992E+01
    770     1.50   427.50     -0.329403E+02  -0.424941E+02  -0.989683E+02   0.214202E+02
    771     2.50   427.50     -0.159597E+02  -0.394375E+02  -0.109578E+03   0.286750E+02
    772     3.50   427.50      0.691752E+01  -0.338795E+02  -0.119164E+03   0.343225E+02
    773     4.25   427.50      0.275579E+02  -0.253827E+02  -0.114405E+03   0.403843E+02
    774     4.75   427.50      0.344260E+02  -0.202760E+02  -0.102490E+03   0.444899E+02
    775     5.50   427.50      0.335413E+02  -0.148355E+02  -0.773925E+02  -0.409099E+02
    776     6.50   427.50      0.235051E+02  -0.129842E+02  -0.538106E+02  -0.392389E+02
    777     7.50   427.50      0.158015E+02  -0.116761E+02  -0.383173E+02  -0.389685E+02
    778     8.50   427.50      0.106032E+02  -0.104934E+02  -0.279273E+02  -0.384991E+02
    779    10.00   427.50      0.575901E+01  -0.894754E+01  -0.178676E+02  -0.371999E+02
    780    13.00   427.50      0.201709E+01  -0.648982E+01  -0.802546E+01  -0.346922E+02
    781    19.00   427.50      0.110960E+01  -0.367365E+01  -0.253821E+01  -0.379548E+02
    782    31.00   427.50      0.888692E+00  -0.158514E+01  -0.708688E+00   0.379154E+02
    783    55.00   427.50      0.422062E+00  -0.521964E+00  -0.191673E+00   0.168038E+02
    784   103.00   427.50      0.327182E+00  -0.494246E-01  -0.120705E+00  -0.316992E+01
    785     0.50   428.50     -0.112678E+03  -0.238811E+03  -0.238097E+03  -0.161984E+01
    786     1.50   428.50     -0.111612E+03  -0.232154E+03  -0.228202E+03  -0.533392E+01
    787     2.50   428.50     -0.108925E+03  -0.218473E+03  -0.208225E+03  -0.106748E+02
    788     3.50   428.50     -0.964633E+02  -0.194208E+03  -0.177558E+03  -0.225711E+02
    789     4.25   428.50     -0.540831E+02  -0.163343E+03  -0.157031E+03  -0.333178E+02
    790     4.75   428.50     -0.504153E+01  -0.131637E+03  -0.128517E+03  -0.241182E+02
    791     5.50   428.50      0.512240E+01  -0.104696E+03  -0.784562E+02  -0.202120E+02
    792     6.50   428.50      0.625086E+01  -0.816127E+02  -0.414098E+02  -0.243457E+02
    793     7.50   428.50      0.694947E+01  -0.645921E+02  -0.213716E+02  -0.330413E+02
    794     8.50   428.50      0.864806E+01  -0.511797E+02  -0.975672E+01   0.430979E+02
    795    10.00   428.50      0.129697E+02  -0.364317E+02  -0.306042E+01   0.219171E+02
    796    13.00   428.50      0.174577E+02  -0.191527E+02  -0.915509E+00   0.721881E+01
    797    19.00   428.50      0.132844E+02  -0.646483E+01  -0.610790E+00   0.407437E+01
    798    31.00   428.50      0.451605E+01  -0.186661E+01  -0.199992E+00   0.588989E+01
    799    55.00   428.50      0.999512E+00  -0.544828E+00  -0.571975E-01   0.568019E+01
    800   103.00   428.50      0.485409E+00  -0.108489E-02  -0.304930E-01  -0.425631E+01
