     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       156     13.00     388.50     0.959464E+04     0.959464E+04
       157     19.00     388.50     0.958118E+04     0.958118E+04
       158     31.00     388.50     0.954912E+04     0.954912E+04
       159     55.00     388.50     0.949517E+04     0.949517E+04
       160    103.00     388.50     0.954371E+04     0.954371E+04
       161      0.50     389.50     0.961038E+04     0.961038E+04
       162      1.50     389.50     0.961044E+04     0.961044E+04
       163      2.50     389.50     0.960779E+04     0.960779E+04
       164      3.50     389.50     0.960503E+04     0.960503E+04
       165      4.25     389.50     0.960502E+04     0.960502E+04
       166      4.75     389.50     0.960567E+04     0.960567E+04
       167      5.50     389.50     0.960629E+04     0.960629E+04
       168      6.50     389.50     0.960670E+04     0.960670E+04
       169      7.50     389.50     0.960631E+04     0.960631E+04
       170      8.50     389.50     0.960683E+04     0.960683E+04
       171     10.00     389.50     0.960453E+04     0.960453E+04
       172     13.00     389.50     0.959916E+04     0.959916E+04
       173     19.00     389.50     0.958448E+04     0.958448E+04
       174     31.00     389.50     0.955007E+04     0.955007E+04
       175     55.00     389.50     0.949333E+04     0.949333E+04
       176    103.00     389.50     0.954375E+04     0.954375E+04
       177      0.50     390.50     0.961228E+04     0.961228E+04
       178      1.50     390.50     0.961227E+04     0.961227E+04
       179      2.50     390.50     0.961032E+04     0.961032E+04
       180      3.50     390.50     0.960767E+04     0.960767E+04
       181      4.25     390.50     0.960683E+04     0.960683E+04
       182      4.75     390.50     0.960806E+04     0.960806E+04
       183      5.50     390.50     0.960924E+04     0.960924E+04
       184      6.50     390.50     0.960962E+04     0.960962E+04
       185      7.50     390.50     0.960897E+04     0.960897E+04
       186      8.50     390.50     0.960936E+04     0.960936E+04
       187     10.00     390.50     0.960885E+04     0.960885E+04
       188     13.00     390.50     0.960386E+04     0.960386E+04
       189     19.00     390.50     0.958850E+04     0.958850E+04
       190     31.00     390.50     0.955100E+04     0.955100E+04
       191     55.00     390.50     0.949136E+04     0.949136E+04
       192    103.00     390.50     0.954381E+04     0.954381E+04
       193      0.50     391.50     0.960853E+04     0.960853E+04
       194      1.50     391.50     0.960785E+04     0.960785E+04
       195      2.50     391.50     0.960915E+04     0.960915E+04
       196      3.50     391.50     0.960963E+04     0.960963E+04
       197      4.25     391.50     0.960918E+04     0.960918E+04
       198      4.75     391.50     0.960883E+04     0.960883E+04
       199      5.50     391.50     0.960948E+04     0.960948E+04
       200      6.50     391.50     0.961165E+04     0.961165E+04
       201      7.50     391.50     0.961230E+04     0.961230E+04
       202      8.50     391.50     0.961114E+04     0.961114E+04
       203     10.00     391.50     0.961134E+04     0.961134E+04
       204     13.00     391.50     0.960920E+04     0.960920E+04
       205     19.00     391.50     0.959306E+04     0.959306E+04
       206     31.00     391.50     0.955192E+04     0.955192E+04
       207     55.00     391.50     0.948926E+04     0.948926E+04
       208    103.00     391.50     0.954388E+04     0.954388E+04
       209      0.50     392.50     0.960457E+04     0.960457E+04
       210      1.50     392.50     0.960463E+04     0.960463E+04
       211      2.50     392.50     0.960629E+04     0.960629E+04
       212      3.50     392.50     0.960730E+04     0.960730E+04
       213      4.25     392.50     0.960746E+04     0.960746E+04
       214      4.75     392.50     0.960696E+04     0.960696E+04
       215      5.50     392.50     0.960664E+04     0.960664E+04
       216      6.50     392.50     0.960837E+04     0.960837E+04
       217      7.50     392.50     0.961152E+04     0.961152E+04
       218      8.50     392.50     0.961264E+04     0.961264E+04
       219     10.00     392.50     0.961322E+04     0.961322E+04
       220     13.00     392.50     0.961264E+04     0.961264E+04
       221     19.00     392.50     0.959797E+04     0.959797E+04
       222     31.00     392.50     0.955300E+04     0.955300E+04
       223     55.00     392.50     0.948702E+04     0.948702E+04
       224    103.00     392.50     0.954396E+04     0.954396E+04
       225      0.50     393.50     0.959932E+04     0.959932E+04
       226      1.50     393.50     0.960030E+04     0.960030E+04
       227      2.50     393.50     0.960208E+04     0.960208E+04
       228      3.50     393.50     0.960383E+04     0.960383E+04
       229      4.25     393.50     0.960418E+04     0.960418E+04
       230      4.75     393.50     0.960419E+04     0.960419E+04
       231      5.50     393.50     0.960416E+04     0.960416E+04
       232      6.50     393.50     0.960542E+04     0.960542E+04
       233      7.50     393.50     0.960808E+04     0.960808E+04
       234      8.50     393.50     0.961066E+04     0.961066E+04
       235     10.00     393.50     0.961244E+04     0.961244E+04
       236     13.00     393.50     0.961588E+04     0.961588E+04
       237     19.00     393.50     0.960284E+04     0.960284E+04
       238     31.00     393.50     0.955433E+04     0.955433E+04
       239     55.00     393.50     0.948465E+04     0.948465E+04
       240    103.00     393.50     0.954404E+04     0.954404E+04
       241      0.50     394.50     0.959150E+04     0.959150E+04
       242      1.50     394.50     0.959187E+04     0.959187E+04
       243      2.50     394.50     0.959169E+04     0.959169E+04
       244      3.50     394.50     0.959380E+04     0.959380E+04
       245      4.25     394.50     0.959595E+04     0.959595E+04
       246      4.75     394.50     0.959641E+04     0.959641E+04
       247      5.50     394.50     0.959776E+04     0.959776E+04
       248      6.50     394.50     0.960166E+04     0.960166E+04
       249      7.50     394.50     0.960442E+04     0.960442E+04
       250      8.50     394.50     0.960737E+04     0.960737E+04
       251     10.00     394.50     0.961182E+04     0.961182E+04
       252     13.00     394.50     0.961824E+04     0.961824E+04
       253     19.00     394.50     0.960775E+04     0.960775E+04
       254     31.00     394.50     0.955585E+04     0.955585E+04
       255     55.00     394.50     0.948215E+04     0.948215E+04
       256    103.00     394.50     0.954417E+04     0.954417E+04
       257      0.50     395.50     0.958126E+04     0.958126E+04
       258      1.50     395.50     0.958144E+04     0.958144E+04
       259      2.50     395.50     0.958206E+04     0.958206E+04
       260      3.50     395.50     0.958306E+04     0.958306E+04
       261      4.25     395.50     0.958543E+04     0.958543E+04
       262      4.75     395.50     0.958659E+04     0.958659E+04
       263      5.50     395.50     0.958838E+04     0.958838E+04
       264      6.50     395.50     0.959216E+04     0.959216E+04
       265      7.50     395.50     0.959588E+04     0.959588E+04
       266      8.50     395.50     0.960258E+04     0.960258E+04
       267     10.00     395.50     0.961032E+04     0.961032E+04
       268     13.00     395.50     0.961700E+04     0.961700E+04
       269     19.00     395.50     0.961316E+04     0.961316E+04
       270     31.00     395.50     0.955747E+04     0.955747E+04
       271     55.00     395.50     0.947954E+04     0.947954E+04
       272    103.00     395.50     0.954431E+04     0.954431E+04
       273      0.50     396.50     0.956510E+04     0.956510E+04
       274      1.50     396.50     0.956612E+04     0.956612E+04
       275      2.50     396.50     0.956800E+04     0.956800E+04
       276      3.50     396.50     0.957038E+04     0.957038E+04
       277      4.25     396.50     0.957198E+04     0.957198E+04
       278      4.75     396.50     0.957474E+04     0.957474E+04
       279      5.50     396.50     0.957758E+04     0.957758E+04
       280      6.50     396.50     0.958175E+04     0.958175E+04
       281      7.50     396.50     0.958746E+04     0.958746E+04
       282      8.50     396.50     0.959501E+04     0.959501E+04
       283     10.00     396.50     0.960394E+04     0.960394E+04
       284     13.00     396.50     0.961647E+04     0.961647E+04
       285     19.00     396.50     0.961895E+04     0.961895E+04
       286     31.00     396.50     0.955922E+04     0.955922E+04
       287     55.00     396.50     0.947680E+04     0.947680E+04
       288    103.00     396.50     0.954448E+04     0.954448E+04
       289      0.50     397.50     0.954653E+04     0.954653E+04
       290      1.50     397.50     0.954694E+04     0.954694E+04
       291      2.50     397.50     0.954837E+04     0.954837E+04
       292      3.50     397.50     0.955179E+04     0.955179E+04
       293      4.25     397.50     0.955440E+04     0.955440E+04
       294      4.75     397.50     0.955724E+04     0.955724E+04
       295      5.50     397.50     0.956195E+04     0.956195E+04
       296      6.50     397.50     0.956925E+04     0.956925E+04
       297      7.50     397.50     0.957717E+04     0.957717E+04
       298      8.50     397.50     0.958523E+04     0.958523E+04
       299     10.00     397.50     0.959739E+04     0.959739E+04
       300     13.00     397.50     0.961479E+04     0.961479E+04
       301     19.00     397.50     0.962322E+04     0.962322E+04
       302     31.00     397.50     0.956114E+04     0.956114E+04
       303     55.00     397.50     0.947393E+04     0.947393E+04
