  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
     93    19.00   372.00     -0.346572E+01  -0.337986E+01  -0.494063E+01   0.268858E+00
     94    31.00   372.00     -0.350993E+01  -0.335467E+01  -0.464719E+01   0.301717E+00
     95    55.00   372.00     -0.352572E+01  -0.334733E+01  -0.427845E+01   0.208659E+00
     96   103.00   372.00     -0.348867E+01  -0.339083E+01  -0.411625E+01   0.511132E-01
     97     0.50   379.00     -0.298909E+01  -0.298889E+01  -0.501388E+01   0.131511E-01
     98     1.50   379.00     -0.298992E+01  -0.298877E+01  -0.501118E+01   0.393957E-01
     99     2.50   379.00     -0.299159E+01  -0.298849E+01  -0.500577E+01   0.651732E-01
    100     3.50   379.00     -0.299464E+01  -0.298843E+01  -0.499777E+01   0.905218E-01
    101     4.25   379.00     -0.299709E+01  -0.298806E+01  -0.498984E+01   0.109436E+00
    102     4.75   379.00     -0.299869E+01  -0.298770E+01  -0.498395E+01   0.121732E+00
    103     5.50   379.00     -0.300209E+01  -0.298743E+01  -0.497390E+01   0.140134E+00
    104     6.50   379.00     -0.300699E+01  -0.298683E+01  -0.495832E+01   0.164012E+00
    105     7.50   379.00     -0.301245E+01  -0.298602E+01  -0.494036E+01   0.186977E+00
    106     8.50   379.00     -0.301876E+01  -0.298536E+01  -0.492049E+01   0.208764E+00
    107    10.00   379.00     -0.303041E+01  -0.298511E+01  -0.488779E+01   0.239763E+00
    108    13.00   379.00     -0.305588E+01  -0.298361E+01  -0.480999E+01   0.293500E+00
    109    19.00   379.00     -0.310714E+01  -0.297663E+01  -0.462078E+01   0.363322E+00
    110    31.00   379.00     -0.316095E+01  -0.294399E+01  -0.421126E+01   0.376953E+00
    111    55.00   379.00     -0.316038E+01  -0.294795E+01  -0.378311E+01   0.223528E+00
    112   103.00   379.00     -0.309343E+01  -0.299356E+01  -0.362795E+01   0.491542E-01
    113     0.50   384.00     -0.270538E+01  -0.270508E+01  -0.496687E+01   0.177336E-01
    114     1.50   384.00     -0.270634E+01  -0.270465E+01  -0.496262E+01   0.526833E-01
    115     2.50   384.00     -0.270906E+01  -0.270451E+01  -0.495492E+01   0.874954E-01
    116     3.50   384.00     -0.271283E+01  -0.270403E+01  -0.494310E+01   0.121549E+00
    117     4.25   384.00     -0.271641E+01  -0.270344E+01  -0.493138E+01   0.146349E+00
    118     4.75   384.00     -0.271903E+01  -0.270298E+01  -0.492249E+01   0.162774E+00
    119     5.50   384.00     -0.272416E+01  -0.270293E+01  -0.490859E+01   0.186875E+00
    120     6.50   384.00     -0.273187E+01  -0.270256E+01  -0.488663E+01   0.217776E+00
    121     7.50   384.00     -0.273959E+01  -0.270151E+01  -0.486111E+01   0.247618E+00
