  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
    598     4.75   416.50      0.561593E+03   0.562316E+03  -0.117795E+02   0.301542E+01
    599     5.50   416.50      0.561317E+03   0.562230E+03  -0.111617E+02   0.327411E+01
    600     6.50   416.50      0.560949E+03   0.562109E+03  -0.102910E+02   0.351384E+01
    601     7.50   416.50      0.560595E+03   0.561984E+03  -0.939788E+01   0.363268E+01
    602     8.50   416.50      0.560268E+03   0.561861E+03  -0.850725E+01   0.365289E+01
    603    10.00   416.50      0.559868E+03   0.561685E+03  -0.725398E+01   0.352736E+01
    604    13.00   416.50      0.559397E+03   0.561400E+03  -0.512433E+01   0.296894E+01
    605    19.00   416.50      0.559340E+03   0.561038E+03  -0.268945E+01   0.173834E+01
    606    31.00   416.50      0.559968E+03   0.560793E+03  -0.119509E+01   0.539217E+00
    607    55.00   416.50      0.560474E+03   0.560666E+03  -0.102456E+01   0.901782E-01
    608   103.00   416.50      0.560630E+03   0.560665E+03  -0.973759E+00   0.224374E-01
    609     0.50   417.50      0.562539E+03   0.562557E+03  -0.155109E+02   0.462057E+00
    610     1.50   417.50      0.562420E+03   0.562528E+03  -0.152387E+02   0.135878E+01
    611     2.50   417.50      0.562194E+03   0.562473E+03  -0.147111E+02   0.217806E+01
    612     3.50   417.50      0.561883E+03   0.562396E+03  -0.139666E+02   0.288037E+01
    613     4.25   417.50      0.561613E+03   0.562326E+03  -0.132957E+02   0.331687E+01
    614     4.75   417.50      0.561420E+03   0.562274E+03  -0.128106E+02   0.355645E+01
    615     5.50   417.50      0.561120E+03   0.562190E+03  -0.120405E+02   0.383713E+01
    616     6.50   417.50      0.560729E+03   0.562073E+03  -0.109691E+02   0.407923E+01
    617     7.50   417.50      0.560362E+03   0.561953E+03  -0.988979E+01   0.417733E+01
    618     8.50   417.50      0.560037E+03   0.561834E+03  -0.884179E+01   0.415597E+01
    619    10.00   417.50      0.559659E+03   0.561669E+03  -0.738836E+01   0.394578E+01
    620    13.00   417.50      0.559272E+03   0.561402E+03  -0.504338E+01   0.321806E+01
    621    19.00   417.50      0.559362E+03   0.561070E+03  -0.251178E+01   0.178043E+01
    622    31.00   417.50      0.560054E+03   0.560840E+03  -0.109200E+01   0.522651E+00
    623    55.00   417.50      0.560555E+03   0.560729E+03  -0.947020E+00   0.851764E-01
    624   103.00   417.50      0.560701E+03   0.560731E+03  -0.898098E+00   0.225321E-01
    625     0.50   418.50      0.562546E+03   0.562569E+03  -0.174615E+02   0.554565E+00
    626     1.50   418.50      0.562403E+03   0.562537E+03  -0.171061E+02   0.162796E+01
    627     2.50   418.50      0.562134E+03   0.562478E+03  -0.164237E+02   0.259920E+01
    628     3.50   418.50      0.561767E+03   0.562396E+03  -0.154692E+02   0.341661E+01
    629     4.25   418.50      0.561454E+03   0.562323E+03  -0.146168E+02   0.391093E+01
    630     4.75   418.50      0.561233E+03   0.562268E+03  -0.140045E+02   0.417484E+01
    631     5.50   418.50      0.560896E+03   0.562181E+03  -0.130406E+02   0.447102E+01
    632     6.50   418.50      0.560467E+03   0.562060E+03  -0.117202E+02   0.470226E+01
    633     7.50   418.50      0.560080E+03   0.561939E+03  -0.104164E+02   0.476121E+01
    634     8.50   418.50      0.559753E+03   0.561820E+03  -0.917783E+01   0.468023E+01
    635    10.00   418.50      0.559402E+03   0.561659E+03  -0.750124E+01   0.436470E+01
    636    13.00   418.50      0.559121E+03   0.561404E+03  -0.492652E+01   0.344396E+01
    637    19.00   418.50      0.559382E+03   0.561098E+03  -0.231959E+01   0.180605E+01
    638    31.00   418.50      0.560146E+03   0.560888E+03  -0.986885E+00   0.503159E+00
    639    55.00   418.50      0.560637E+03   0.560792E+03  -0.868237E+00   0.803609E-01
    640   103.00   418.50      0.560772E+03   0.560797E+03  -0.821728E+00   0.225662E-01
    641     0.50   419.50      0.562591E+03   0.562620E+03  -0.198223E+02   0.668727E+00
    642     1.50   419.50      0.562415E+03   0.562584E+03  -0.193575E+02   0.195864E+01
    643     2.50   419.50      0.562084E+03   0.562517E+03  -0.184698E+02   0.311174E+01
    644     3.50   419.50      0.561641E+03   0.562425E+03  -0.172372E+02   0.406074E+01
    645     4.25   419.50      0.561268E+03   0.562344E+03  -0.161479E+02   0.461602E+01
    646     4.75   419.50      0.561008E+03   0.562283E+03  -0.153708E+02   0.490112E+01
    647     5.50   419.50      0.560623E+03   0.562188E+03  -0.141627E+02   0.520264E+01
    648     6.50   419.50      0.560145E+03   0.562059E+03  -0.125334E+02   0.540208E+01
    649     7.50   419.50      0.559735E+03   0.561930E+03  -0.109605E+02   0.539620E+01
    650     8.50   419.50      0.559409E+03   0.561807E+03  -0.950027E+01   0.523093E+01
    651    10.00   419.50      0.559099E+03   0.561647E+03  -0.757668E+01   0.478049E+01
    652    13.00   419.50      0.558951E+03   0.561401E+03  -0.476828E+01   0.364057E+01
    653    19.00   419.50      0.559406E+03   0.561122E+03  -0.211429E+01   0.181288E+01
    654    31.00   419.50      0.560246E+03   0.560937E+03  -0.880770E+00   0.481732E+00
    655    55.00   419.50      0.560720E+03   0.560855E+03  -0.788625E+00   0.759326E-01
    656   103.00   419.50      0.560843E+03   0.560864E+03  -0.744463E+00   0.224986E-01
    657     0.50   420.50      0.562657E+03   0.562694E+03  -0.226960E+02   0.812198E+00
    658     1.50   420.50      0.562435E+03   0.562651E+03  -0.220844E+02   0.237237E+01
    659     2.50   420.50      0.562023E+03   0.562574E+03  -0.209202E+02   0.374842E+01
    660     3.50   420.50      0.561477E+03   0.562466E+03  -0.193177E+02   0.484951E+01
    661     4.25   420.50      0.561026E+03   0.562373E+03  -0.179169E+02   0.546790E+01
    662     4.75   420.50      0.560717E+03   0.562304E+03  -0.169282E+02   0.576860E+01
    663     5.50   420.50      0.560270E+03   0.562198E+03  -0.154047E+02   0.605847E+01
    664     6.50   420.50      0.559738E+03   0.562054E+03  -0.133935E+02   0.619424E+01
    665     7.50   420.50      0.559309E+03   0.561916E+03  -0.114977E+02   0.608721E+01
    666     8.50   420.50      0.558996E+03   0.561786E+03  -0.978418E+01   0.580568E+01
    667    10.00   420.50      0.558750E+03   0.561625E+03  -0.759789E+01   0.518467E+01
    668    13.00   420.50      0.558772E+03   0.561391E+03  -0.456493E+01   0.379997E+01
    669    19.00   420.50      0.559442E+03   0.561142E+03  -0.189953E+01   0.179906E+01
    670    31.00   420.50      0.560352E+03   0.560986E+03  -0.775950E+00   0.459014E+00
    671    55.00   420.50      0.560803E+03   0.560918E+03  -0.709605E+00   0.720148E-01
    672   103.00   420.50      0.560914E+03   0.560930E+03  -0.667356E+00   0.223541E-01
    673     0.50   421.50      0.562719E+03   0.562767E+03  -0.262188E+02   0.995161E+00
    674     1.50   421.50      0.562438E+03   0.562716E+03  -0.254071E+02   0.289699E+01
    675     2.50   421.50      0.561918E+03   0.562625E+03  -0.238688E+02   0.454961E+01
    676     3.50   421.50      0.561239E+03   0.562499E+03  -0.217682E+02   0.582799E+01
    677     4.25   421.50      0.560688E+03   0.562390E+03  -0.199537E+02   0.650812E+01
    678     4.75   421.50      0.560319E+03   0.562311E+03  -0.186844E+02   0.681403E+01
    679     5.50   421.50      0.559801E+03   0.562191E+03  -0.167573E+02   0.706458E+01
    680     6.50   421.50      0.559216E+03   0.562031E+03  -0.142704E+02   0.708857E+01
    681     7.50   421.50      0.558782E+03   0.561880E+03  -0.119958E+02   0.683115E+01
    682     8.50   421.50      0.558504E+03   0.561744E+03  -0.100002E+02   0.639204E+01
    683    10.00   421.50      0.558360E+03   0.561584E+03  -0.754340E+01   0.556036E+01
    684    13.00   421.50      0.558599E+03   0.561367E+03  -0.431374E+01   0.391281E+01
    685    19.00   421.50      0.559497E+03   0.561157E+03  -0.167651E+01   0.176317E+01
    686    31.00   421.50      0.560466E+03   0.561035E+03  -0.671274E+00   0.435910E+00
    687    55.00   421.50      0.560887E+03   0.560982E+03  -0.630757E+00   0.688007E-01
    688   103.00   421.50      0.560986E+03   0.560997E+03  -0.590277E+00   0.221566E-01
    689     0.50   422.50      0.562735E+03   0.562797E+03  -0.305673E+02   0.122818E+01
    690     1.50   422.50      0.562379E+03   0.562739E+03  -0.294848E+02   0.356545E+01
    691     2.50   422.50      0.561723E+03   0.562634E+03  -0.274374E+02   0.556400E+01
    692     3.50   422.50      0.560876E+03   0.562491E+03  -0.246583E+02   0.705062E+01
    693     4.25   422.50      0.560201E+03   0.562366E+03  -0.222855E+02   0.778601E+01
    694     4.75   422.50      0.559759E+03   0.562276E+03  -0.206469E+02   0.807866E+01
    695     5.50   422.50      0.559167E+03   0.562142E+03  -0.181934E+02   0.824432E+01
    696     6.50   422.50      0.558541E+03   0.561965E+03  -0.151191E+02   0.808454E+01
    697     7.50   422.50      0.558135E+03   0.561804E+03  -0.124065E+02   0.760982E+01
    698     8.50   422.50      0.557931E+03   0.561665E+03  -0.101097E+02   0.696332E+01
    699    10.00   422.50      0.557940E+03   0.561513E+03  -0.739250E+01   0.588274E+01
    700    13.00   422.50      0.558448E+03   0.561327E+03  -0.401456E+01   0.396715E+01
    701    19.00   422.50      0.559580E+03   0.561169E+03  -0.144640E+01   0.170584E+01
    702    31.00   422.50      0.560588E+03   0.561086E+03  -0.566274E+00   0.413471E+00
    703    55.00   422.50      0.560971E+03   0.561045E+03  -0.552070E+00   0.662784E-01
    704   103.00   422.50      0.561057E+03   0.561064E+03  -0.513288E+00   0.219008E-01
    705     0.50   423.50      0.562620E+03   0.562699E+03  -0.359611E+02   0.152096E+01
    706     1.50   423.50      0.562181E+03   0.562640E+03  -0.345194E+02   0.440791E+01
    707     2.50   423.50      0.561367E+03   0.562534E+03  -0.317854E+02   0.684401E+01
    708     3.50   423.50      0.560315E+03   0.562385E+03  -0.280760E+02   0.858100E+01
    709     4.25   423.50      0.559491E+03   0.562253E+03  -0.249386E+02   0.935885E+01
    710     4.75   423.50      0.558967E+03   0.562156E+03  -0.227992E+02   0.960604E+01
    711     5.50   423.50      0.558303E+03   0.562013E+03  -0.196585E+02   0.961391E+01
    712     6.50   423.50      0.557673E+03   0.561827E+03  -0.158651E+02   0.916258E+01
    713     7.50   423.50      0.557354E+03   0.561663E+03  -0.126662E+02   0.838301E+01
    714     8.50   423.50      0.557286E+03   0.561529E+03  -0.100709E+02   0.747551E+01
    715    10.00   423.50      0.557516E+03   0.561399E+03  -0.712798E+01   0.611857E+01
    716    13.00   423.50      0.558344E+03   0.561264E+03  -0.367231E+01   0.395110E+01
    717    19.00   423.50      0.559697E+03   0.561178E+03  -0.121284E+01   0.162936E+01
    718    31.00   423.50      0.560719E+03   0.561139E+03  -0.462016E+00   0.393084E+00
    719    55.00   423.50      0.561055E+03   0.561109E+03  -0.472498E+00   0.646393E-01
    720   103.00   423.50      0.561128E+03   0.561130E+03  -0.436419E+00   0.216003E-01
    721     0.50   424.50      0.562184E+03   0.562280E+03  -0.426305E+02   0.187052E+01
    722     1.50   424.50      0.561686E+03   0.562249E+03  -0.407417E+02   0.542679E+01
    723     2.50   424.50      0.560730E+03   0.562186E+03  -0.371154E+02   0.842304E+01
    724     3.50   424.50      0.559459E+03   0.562081E+03  -0.321353E+02   0.104854E+02
    725     4.25   424.50      0.558461E+03   0.561971E+03  -0.279273E+02   0.112892E+02
    726     4.75   424.50      0.557845E+03   0.561883E+03  -0.250958E+02   0.114382E+02
    727     5.50   424.50      0.557132E+03   0.561751E+03  -0.210470E+02   0.111709E+02
    728     6.50   424.50      0.556575E+03   0.561570E+03  -0.163951E+02   0.102649E+02
    729     7.50   424.50      0.556445E+03   0.561419E+03  -0.126970E+02   0.907298E+01
    730     8.50   424.50      0.556603E+03   0.561310E+03  -0.984230E+01   0.785921E+01
    731    10.00   424.50      0.557132E+03   0.561226E+03  -0.674653E+01   0.622456E+01
    732    13.00   424.50      0.558314E+03   0.561176E+03  -0.329206E+01   0.385339E+01
    733    19.00   424.50      0.559855E+03   0.561187E+03  -0.974326E+00   0.154067E+01
    734    31.00   424.50      0.560859E+03   0.561194E+03  -0.356783E+00   0.377578E+00
    735    55.00   424.50      0.561141E+03   0.561174E+03  -0.392351E+00   0.642984E-01
    736   103.00   424.50      0.561200E+03   0.561197E+03  -0.358690E+00   0.212783E-01
    737     0.50   425.50      0.561001E+03   0.561102E+03  -0.507228E+02   0.222991E+01
    738     1.50   425.50      0.560556E+03   0.561172E+03  -0.483701E+02   0.652237E+01
    739     2.50   425.50      0.559605E+03   0.561280E+03  -0.437116E+02   0.102319E+02
    740     3.50   425.50      0.558186E+03   0.561368E+03  -0.370312E+02   0.127837E+02
    741     4.25   425.50      0.557009E+03   0.561387E+03  -0.312637E+02   0.136443E+02
    742     4.75   425.50      0.556288E+03   0.561352E+03  -0.274387E+02   0.136163E+02
    743     5.50   425.50      0.555576E+03   0.561282E+03  -0.221447E+02   0.128620E+02
    744     6.50   425.50      0.555239E+03   0.561141E+03  -0.165279E+02   0.112679E+02
    745     7.50   425.50      0.555458E+03   0.561030E+03  -0.124127E+02   0.955582E+01
    746     8.50   425.50      0.555954E+03   0.560976E+03  -0.939680E+01   0.802218E+01
    747    10.00   425.50      0.556854E+03   0.560982E+03  -0.624627E+01   0.615741E+01
    748    13.00   425.50      0.558389E+03   0.561067E+03  -0.287115E+01   0.368477E+01
    749    19.00   425.50      0.560062E+03   0.561201E+03  -0.731147E+00   0.146144E+01
    750    31.00   425.50      0.561009E+03   0.561252E+03  -0.254227E+00   0.372345E+00
    751    55.00   425.50      0.561226E+03   0.561239E+03  -0.313803E+00   0.659165E-01
    752   103.00   425.50      0.561271E+03   0.561264E+03  -0.281953E+00   0.209917E-01
    753     0.50   426.50      0.144179E+03   0.144893E+03  -0.659186E+02   0.532440E+01
    754     1.50   426.50      0.135508E+03   0.140012E+03  -0.638679E+02   0.163151E+02
    755     2.50   426.50      0.117041E+03   0.129915E+03  -0.593112E+02   0.282760E+02
    756     3.50   426.50      0.877612E+02   0.114449E+03  -0.502246E+02   0.395520E+02
    757     4.25   426.50      0.607494E+02   0.100337E+03  -0.389309E+02   0.443579E+02
    758     4.75   426.50      0.421043E+02   0.901066E+02  -0.307009E+02   0.435645E+02
    759     5.50   426.50      0.184169E+02   0.748798E+02  -0.206985E+02   0.374864E+02
    760     6.50   426.50     -0.449763E+01   0.558541E+02  -0.138184E+02   0.276466E+02
    761     7.50   426.50     -0.176433E+02   0.409191E+02  -0.102165E+02   0.199080E+02
    762     8.50   426.50     -0.245556E+02   0.297936E+02  -0.771505E+01   0.146478E+02
    763    10.00   426.50     -0.282763E+02   0.182918E+02  -0.505621E+01   0.961517E+01
    764    13.00   426.50     -0.262020E+02   0.607892E+01  -0.198183E+01   0.466599E+01
    765    19.00   426.50     -0.153779E+02  -0.919366E+00  -0.916164E-01   0.191321E+01
    766    31.00   426.50     -0.388733E+01  -0.131944E+01  -0.874453E-01   0.722422E+00
    767    55.00   426.50     -0.252813E+00  -0.504982E+00  -0.242781E+00   0.148056E+00
    768   103.00   426.50      0.167799E+00  -0.990086E-01  -0.212803E+00  -0.222860E-01
    769     0.50   427.50     -0.439226E+02  -0.440209E+02  -0.911119E+02   0.735788E+01
    770     1.50   427.50     -0.417468E+02  -0.424941E+02  -0.901618E+02   0.224482E+02
    771     2.50   427.50     -0.375152E+02  -0.394375E+02  -0.880227E+02   0.394125E+02
    772     3.50   427.50     -0.331672E+02  -0.338795E+02  -0.790791E+02   0.587124E+02
    773     4.25   427.50     -0.320365E+02  -0.253827E+02  -0.548102E+02   0.700620E+02
    774     4.75   427.50     -0.328132E+02  -0.202760E+02  -0.352512E+02   0.684474E+02
    775     5.50   427.50     -0.298177E+02  -0.148355E+02  -0.140335E+02   0.549025E+02
    776     6.50   427.50     -0.228745E+02  -0.129842E+02  -0.743101E+01   0.378788E+02
    777     7.50   427.50     -0.169129E+02  -0.116761E+02  -0.560290E+01   0.264619E+02
    778     8.50   427.50     -0.129964E+02  -0.104934E+02  -0.432767E+01   0.187713E+02
    779    10.00   427.50     -0.923120E+01  -0.894754E+01  -0.287744E+01   0.113781E+02
    780    13.00   427.50     -0.477216E+01  -0.648982E+01  -0.123620E+01   0.469973E+01
    781    19.00   427.50     -0.115834E+01  -0.367365E+01  -0.270269E+00   0.176903E+01
    782    31.00   427.50      0.285511E+00  -0.158514E+01  -0.105507E+00   0.774391E+00
    783    55.00   427.50      0.370768E+00  -0.521964E+00  -0.140379E+00   0.169852E+00
    784   103.00   427.50      0.325812E+00  -0.494246E-01  -0.119335E+00  -0.247290E-01
    785     0.50   428.50     -0.237997E+03  -0.238811E+03  -0.112778E+03   0.354389E+01
    786     1.50   428.50     -0.227194E+03  -0.232154E+03  -0.112620E+03   0.107912E+02
    787     2.50   428.50     -0.204818E+03  -0.218473E+03  -0.112333E+03   0.180755E+02
    788     3.50   428.50     -0.165611E+03  -0.194208E+03  -0.108411E+03   0.287424E+02
    789     4.25   428.50     -0.125970E+03  -0.163343E+03  -0.851436E+02   0.472530E+02
    790     4.75   428.50     -0.107900E+03  -0.131637E+03  -0.256582E+02   0.460500E+02
    791     5.50   428.50     -0.684797E+02  -0.104696E+03  -0.485409E+01   0.270978E+02
    792     6.50   428.50     -0.333103E+02  -0.816127E+02  -0.184871E+01   0.179005E+02
    793     7.50   428.50     -0.129520E+02  -0.645921E+02  -0.147012E+01   0.129446E+02
    794     8.50   428.50      0.562362E-01  -0.511797E+02  -0.116490E+01   0.918211E+01
    795    10.00   428.50      0.107363E+02  -0.364317E+02  -0.826990E+00   0.555105E+01
    796    13.00   428.50      0.171676E+02  -0.191527E+02  -0.625393E+00   0.229046E+01
    797    19.00   428.50      0.132142E+02  -0.646483E+01  -0.540643E+00   0.984774E+00
    798    31.00   428.50      0.446639E+01  -0.186661E+01  -0.150331E+00   0.481391E+00
    799    55.00   428.50      0.989160E+00  -0.544828E+00  -0.468458E-01   0.104075E+00
    800   103.00   428.50      0.482568E+00  -0.108489E-02  -0.276512E-01  -0.381838E-01
