  STRAINS @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD       EPS R          EPS TH         EPS Z         EPS RZ
    120     6.50   384.00      0.707255E-04   0.751798E-04  -0.164073E-03   0.662694E-04
    121     7.50   384.00      0.686141E-04   0.744492E-04  -0.161052E-03   0.752976E-04
    122     8.50   384.00      0.662668E-04   0.736280E-04  -0.157683E-03   0.838663E-04
    123    10.00   384.00      0.623339E-04   0.722376E-04  -0.152042E-03   0.957079E-04
    124    13.00   384.00      0.533659E-04   0.689515E-04  -0.139033E-03   0.115467E-03
    125    19.00   384.00      0.336406E-04   0.609144E-04  -0.109134E-03   0.138314E-03
    126    31.00   384.00      0.110473E-05   0.432673E-04  -0.537027E-04   0.133456E-03
    127    55.00   384.00     -0.174759E-04   0.185222E-04  -0.545895E-05   0.675697E-04
    128   103.00   384.00     -0.113182E-04   0.281965E-05   0.608946E-05   0.116858E-04
    129     0.50   387.00      0.880354E-04   0.880908E-04  -0.197131E-03   0.645271E-05
    130     1.50   387.00      0.876176E-04   0.879495E-04  -0.196540E-03   0.193163E-04
    131     2.50   387.00      0.867732E-04   0.876688E-04  -0.195349E-03   0.320210E-04
    132     3.50   387.00      0.855193E-04   0.872479E-04  -0.193574E-03   0.444642E-04
    133     4.25   387.00      0.843343E-04   0.868432E-04  -0.191878E-03   0.535942E-04
    134     4.75   387.00      0.834179E-04   0.865321E-04  -0.190578E-03   0.595633E-04
    135     5.50   387.00      0.818705E-04   0.860056E-04  -0.188392E-03   0.682967E-04
    136     6.50   387.00      0.795119E-04   0.851945E-04  -0.185032E-03   0.795132E-04
    137     7.50   387.00      0.768273E-04   0.842630E-04  -0.181197E-03   0.901614E-04
    138     8.50   387.00      0.738542E-04   0.832172E-04  -0.176934E-03   0.100188E-03
    139    10.00   387.00      0.689055E-04   0.814516E-04  -0.169830E-03   0.113893E-03
    140    13.00   387.00      0.577602E-04   0.773056E-04  -0.153609E-03   0.136105E-03
    141    19.00   387.00      0.339219E-04   0.673233E-04  -0.117143E-03   0.159323E-03
    142    31.00   387.00     -0.251177E-05   0.462860E-04  -0.535336E-04   0.146194E-03
    143    55.00   387.00     -0.196112E-04   0.187440E-04  -0.361836E-05   0.679003E-04
    144   103.00   387.00     -0.111932E-04   0.272383E-05   0.613080E-05   0.110549E-04
    145     0.50   388.50      0.941253E-04   0.941904E-04  -0.210688E-03   0.710968E-05
    146     1.50   388.50      0.936533E-04   0.940278E-04  -0.210021E-03   0.212877E-04
    147     2.50   388.50      0.927036E-04   0.937121E-04  -0.208684E-03   0.353169E-04
    148     3.50   388.50      0.912724E-04   0.932362E-04  -0.206665E-03   0.490324E-04
    149     4.25   388.50      0.899178E-04   0.927755E-04  -0.204729E-03   0.590723E-04
    150     4.75   388.50      0.888810E-04   0.924215E-04  -0.203256E-03   0.656236E-04
    151     5.50   388.50      0.871145E-04   0.918223E-04  -0.200765E-03   0.751851E-04
    152     6.50   388.50      0.844307E-04   0.908988E-04  -0.196945E-03   0.874474E-04
    153     7.50   388.50      0.813884E-04   0.898392E-04  -0.192594E-03   0.990352E-04
    154     8.50   388.50      0.780331E-04   0.886520E-04  -0.187775E-03   0.109882E-03
    155    10.00   388.50      0.724580E-04   0.866519E-04  -0.179766E-03   0.124653E-03
    156    13.00   388.50      0.599854E-04   0.819733E-04  -0.161563E-03   0.148172E-03
    157    19.00   388.50      0.337481E-04   0.708067E-04  -0.121192E-03   0.171166E-03
    158    31.00   388.50     -0.466719E-05   0.478107E-04  -0.531152E-04   0.152766E-03
    159    55.00   388.50     -0.207000E-04   0.187975E-04  -0.262096E-05   0.677861E-04
    160   103.00   388.50     -0.110920E-04   0.266830E-05   0.612420E-05   0.107148E-04
