

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  223      |      (1.475e-05, -4.569e-04)
                  224      |      (2.916e-05, -4.522e-04)
                  225      |      (4.292e-05, -4.446e-04)
                  226      |      (5.578e-05, -4.344e-04)
                  227      |      (6.756e-05, -4.220e-04)
                  228      |      (1.015e-04, -3.599e-04)
                  229      |      (1.243e-04, -2.385e-04)
                  230      |      (1.039e-04, -8.299e-05)
                  231      |      (0.000e+00, 5.781e-06)
                  232      |      (0.000e+00, -4.378e-04)
                  233      |      (7.450e-06, -4.374e-04)
                  234      |      (1.486e-05, -4.363e-04)
                  235      |      (2.219e-05, -4.345e-04)
                  236      |      (2.940e-05, -4.320e-04)
                  237      |      (3.646e-05, -4.288e-04)
                  238      |      (4.334e-05, -4.250e-04)
                  239      |      (5.000e-05, -4.205e-04)
                  240      |      (5.642e-05, -4.155e-04)
                  241      |      (6.259e-05, -4.100e-04)
                  242      |      (6.848e-05, -4.040e-04)
                  243      |      (8.845e-05, -3.765e-04)
                  244      |      (1.039e-04, -3.458e-04)
                  245      |      (1.215e-04, -2.868e-04)
                  246      |      (1.289e-04, -2.303e-04)
                  247      |      (1.257e-04, -1.448e-04)
                  248      |      (1.088e-04, -8.108e-05)
                  249      |      (6.133e-05, -1.649e-05)
                  250      |      (0.000e+00, 3.518e-06)
                  251      |      (0.000e+00, -4.171e-04)
                  252      |      (1.483e-05, -4.158e-04)
                  253      |      (2.936e-05, -4.118e-04)
                  254      |      (4.333e-05, -4.053e-04)
                  255      |      (5.650e-05, -3.965e-04)
                  256      |      (6.869e-05, -3.859e-04)
                  257      |      (1.051e-04, -3.315e-04)
                  258      |      (1.318e-04, -2.219e-04)
                  259      |      (1.122e-04, -7.915e-05)
                  260      |      (0.000e+00, 1.191e-06)
                  261      |      (0.000e+00, -3.965e-04)
                  262      |      (7.352e-06, -3.962e-04)
                  263      |      (1.467e-05, -3.953e-04)
                  264      |      (2.191e-05, -3.938e-04)
                  265      |      (2.906e-05, -3.916e-04)
                  266      |      (3.607e-05, -3.889e-04)
                  267      |      (4.292e-05, -3.857e-04)
                  268      |      (4.958e-05, -3.819e-04)
                  269      |      (5.603e-05, -3.776e-04)
                  270      |      (6.224e-05, -3.729e-04)
                  271      |      (6.822e-05, -3.677e-04)
                  272      |      (8.876e-05, -3.439e-04)
                  273      |      (1.050e-04, -3.170e-04)
                  274      |      (1.243e-04, -2.643e-04)
                  275      |      (1.330e-04, -2.134e-04)
                  276      |      (1.310e-04, -1.353e-04)
                  277      |      (1.137e-04, -7.720e-05)
                  278      |      (6.395e-05, -1.890e-05)
                  279      |      (0.000e+00, -1.204e-06)
                  280      |      (0.000e+00, -3.763e-04)
                  281      |      (1.437e-05, -3.751e-04)
                  282      |      (2.849e-05, -3.717e-04)
                  283      |      (4.211e-05, -3.662e-04)
                  284      |      (5.503e-05, -3.588e-04)
                  285      |      (6.708e-05, -3.497e-04)
                  286      |      (1.039e-04, -3.025e-04)
                  287      |      (1.325e-04, -2.048e-04)
                  288      |      (1.138e-04, -7.525e-05)
                  289      |      (0.000e+00, -3.593e-06)
                  290      |      (0.000e+00, -3.564e-04)
                  291      |      (6.991e-06, -3.561e-04)
                  292      |      (1.395e-05, -3.553e-04)
                  293      |      (2.085e-05, -3.540e-04)
                  294      |      (2.766e-05, -3.522e-04)
                  295      |      (3.436e-05, -3.499e-04)
                  296      |      (4.091e-05, -3.472e-04)
                  297      |      (4.730e-05, -3.440e-04)
                  298      |      (5.351e-05, -3.403e-04)
                  299      |      (5.951e-05, -3.363e-04)
                  300      |      (6.530e-05, -3.319e-04)
                  301      |      (8.539e-05, -3.115e-04)
                  302      |      (1.016e-04, -2.881e-04)
                  303      |      (1.211e-04, -2.415e-04)
                  304      |      (1.303e-04, -1.962e-04)
                  305      |      (1.291e-04, -1.257e-04)
                  306      |      (1.120e-04, -7.329e-05)
                  307      |      (6.257e-05, -2.133e-05)
                  308      |      (0.000e+00, -5.945e-06)
                  309      |      (0.000e+00, -3.370e-04)
                  310      |      (1.340e-05, -3.360e-04)
                  311      |      (2.658e-05, -3.332e-04)
                  312      |      (3.934e-05, -3.285e-04)
                  313      |      (5.149e-05, -3.222e-04)
                  314      |      (6.288e-05, -3.145e-04)
                  315      |      (9.822e-05, -2.739e-04)
                  316      |      (1.265e-04, -1.876e-04)
                  317      |      (1.088e-04, -7.134e-05)
                  318      |      (0.000e+00, -8.235e-06)
                  319      |      (0.000e+00, -3.182e-04)
                  320      |      (6.378e-06, -3.180e-04)
                  321      |      (1.273e-05, -3.173e-04)
                  322      |      (1.903e-05, -3.163e-04)
                  323      |      (2.526e-05, -3.147e-04)
                  324      |      (3.138e-05, -3.128e-04)
                  325      |      (3.739e-05, -3.105e-04)
                  326      |      (4.326e-05, -3.078e-04)
                  327      |      (4.896e-05, -3.047e-04)
                  328      |      (5.450e-05, -3.013e-04)
                  329      |      (5.984e-05, -2.976e-04)
                  330      |      (7.852e-05, -2.802e-04)
                  331      |      (9.375e-05, -2.600e-04)
                  332      |      (1.122e-04, -2.192e-04)
                  333      |      (1.211e-04, -1.792e-04)
                  334      |      (1.201e-04, -1.161e-04)
                  335      |      (1.038e-04, -6.938e-05)
                  336      |      (5.738e-05, -2.355e-05)
                  337      |      (0.000e+00, -1.039e-05)
                  338      |      (0.000e+00, -3.002e-04)
                  339      |      (1.193e-05, -2.994e-04)
                  340      |      (2.368e-05, -2.971e-04)
                  341      |      (3.507e-05, -2.932e-04)
                  342      |      (4.594e-05, -2.879e-04)
                  343      |      (5.617e-05, -2.813e-04)
                  344      |      (8.823e-05, -2.466e-04)
                  345      |      (1.142e-04, -1.710e-04)
                  346      |      (9.729e-05, -6.743e-05)
                  347      |      (0.000e+00, -1.242e-05)
                  348      |      (0.000e+00, -2.831e-04)
                  349      |      (5.517e-06, -2.829e-04)
                  350      |      (1.101e-05, -2.824e-04)
                  351      |      (1.646e-05, -2.815e-04)
                  352      |      (2.186e-05, -2.802e-04)
                  353      |      (2.717e-05, -2.786e-04)
                  354      |      (3.238e-05, -2.767e-04)
                  355      |      (3.747e-05, -2.744e-04)
                  356      |      (4.243e-05, -2.718e-04)
                  357      |      (4.724e-05, -2.689e-04)
                  358      |      (5.190e-05, -2.657e-04)
                  359      |      (6.825e-05, -2.510e-04)
                  360      |      (8.165e-05, -2.337e-04)
                  361      |      (9.788e-05, -1.982e-04)
                  362      |      (1.056e-04, -1.630e-04)
                  363      |      (1.041e-04, -1.068e-04)
                  364      |      (8.913e-05, -6.548e-05)
                  365      |      (4.860e-05, -2.532e-05)
                  366      |      (0.000e+00, -1.422e-05)
                  367      |      (0.000e+00, -2.670e-04)
                  368      |      (9.967e-06, -2.663e-04)
                  369      |      (1.979e-05, -2.643e-04)
                  370      |      (2.931e-05, -2.611e-04)
                  371      |      (3.842e-05, -2.566e-04)
                  372      |      (4.701e-05, -2.511e-04)
                  373      |      (7.402e-05, -2.215e-04)
                  374      |      (9.550e-05, -1.554e-04)
                  375      |      (7.954e-05, -6.355e-05)
                  376      |      (0.000e+00, -1.585e-05)
                  377      |      (0.000e+00, -2.520e-04)
                  378      |      (4.409e-06, -2.519e-04)
                  379      |      (8.801e-06, -2.514e-04)
                  380      |      (1.316e-05, -2.506e-04)
                  381      |      (1.747e-05, -2.496e-04)
                  382      |      (2.172e-05, -2.482e-04)
                  383      |      (2.589e-05, -2.466e-04)
                  384      |      (2.997e-05, -2.447e-04)
                  385      |      (3.394e-05, -2.425e-04)
