

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0197      |      (0.000e+00, -9.750e-02)
                 0198      |      (4.144e-05, -9.748e-02)
                 0199      |      (1.530e-04, -9.734e-02)
                 0200      |      (2.292e-04, -9.686e-02)
                 0201      |      (-8.306e-06, -9.640e-02)
                 0202      |      (-1.731e-04, -9.625e-02)
                 0203      |      (-2.479e-04, -9.615e-02)
                 0204      |      (-2.908e-04, -9.604e-02)
                 0205      |      (-3.205e-04, -9.594e-02)
                 0206      |      (-3.427e-04, -9.584e-02)
                 0207      |      (-3.596e-04, -9.574e-02)
                 0208      |      (-3.725e-04, -9.564e-02)
                 0209      |      (-3.821e-04, -9.553e-02)
                 0210      |      (-3.916e-04, -9.538e-02)
                 0211      |      (-3.962e-04, -9.522e-02)
                 0212      |      (-3.969e-04, -9.507e-02)
                 0213      |      (-3.943e-04, -9.492e-02)
                 0214      |      (-3.815e-04, -9.463e-02)
                 0215      |      (-3.613e-04, -9.436e-02)
                 0216      |      (-3.073e-04, -9.388e-02)
                 0217      |      (-2.446e-04, -9.348e-02)
                 0218      |      (-1.797e-04, -9.318e-02)
                 0219      |      (-1.161e-04, -9.298e-02)
                 0220      |      (-5.582e-05, -9.286e-02)
                 0221      |      (0.000e+00, -9.282e-02)
                 0222      |      (0.000e+00, -9.730e-02)
                 0223      |      (7.585e-06, -9.729e-02)
                 0224      |      (2.510e-05, -9.727e-02)
                 0225      |      (5.834e-05, -9.722e-02)
                 0226      |      (1.090e-04, -9.713e-02)
                 0227      |      (1.597e-04, -9.698e-02)
                 0228      |      (1.572e-04, -9.677e-02)
                 0229      |      (7.478e-05, -9.655e-02)
                 0230      |      (-3.709e-05, -9.641e-02)
                 0231      |      (-1.217e-04, -9.633e-02)
                 0232      |      (-1.779e-04, -9.626e-02)
                 0233      |      (-2.164e-04, -9.621e-02)
                 0234      |      (-2.433e-04, -9.615e-02)
                 0235      |      (-2.640e-04, -9.610e-02)
                 0236      |      (-2.808e-04, -9.605e-02)
                 0237      |      (-2.952e-04, -9.600e-02)
                 0238      |      (-3.076e-04, -9.595e-02)
                 0239      |      (-3.185e-04, -9.590e-02)
                 0240      |      (-3.280e-04, -9.585e-02)
                 0241      |      (-3.364e-04, -9.579e-02)
                 0242      |      (-3.438e-04, -9.574e-02)
                 0243      |      (-3.502e-04, -9.569e-02)
                 0244      |      (-3.559e-04, -9.564e-02)
                 0245      |      (-3.607e-04, -9.559e-02)
                 0246      |      (-3.649e-04, -9.554e-02)
                 0247      |      (-3.701e-04, -9.546e-02)
                 0248      |      (-3.739e-04, -9.538e-02)
                 0249      |      (-3.766e-04, -9.530e-02)
                 0250      |      (-3.783e-04, -9.523e-02)
                 0251      |      (-3.790e-04, -9.515e-02)
                 0252      |      (-3.789e-04, -9.507e-02)
                 0253      |      (-3.780e-04, -9.500e-02)
                 0254      |      (-3.764e-04, -9.492e-02)
                 0255      |      (-3.713e-04, -9.478e-02)
                 0256      |      (-3.642e-04, -9.463e-02)
                 0257      |      (-3.552e-04, -9.449e-02)
                 0258      |      (-3.448e-04, -9.436e-02)
                 0259      |      (-3.206e-04, -9.411e-02)
                 0260      |      (-2.933e-04, -9.388e-02)
                 0261      |      (-2.640e-04, -9.367e-02)
                 0262      |      (-2.335e-04, -9.348e-02)
                 0263      |      (-2.025e-04, -9.332e-02)
                 0264      |      (-1.715e-04, -9.318e-02)
                 0265      |      (-1.408e-04, -9.307e-02)
