

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0279      |      (-5.315e-05, -2.782e-03)
                 0280      |      (-5.711e-05, -2.770e-03)
                 0281      |      (-6.095e-05, -2.758e-03)
                 0282      |      (-6.466e-05, -2.744e-03)
                 0283      |      (-6.824e-05, -2.730e-03)
                 0284      |      (-7.166e-05, -2.715e-03)
                 0285      |      (-7.492e-05, -2.698e-03)
                 0286      |      (-7.801e-05, -2.681e-03)
                 0287      |      (-8.090e-05, -2.663e-03)
                 0288      |      (-8.360e-05, -2.644e-03)
                 0289      |      (-8.608e-05, -2.624e-03)
                 0290      |      (-8.834e-05, -2.603e-03)
                 0291      |      (-9.038e-05, -2.582e-03)
                 0292      |      (-9.220e-05, -2.558e-03)
                 0293      |      (-9.385e-05, -2.534e-03)
                 0294      |      (-9.540e-05, -2.509e-03)
                 0295      |      (-9.700e-05, -2.483e-03)
                 0296      |      (-9.879e-05, -2.455e-03)
                 0297      |      (-1.009e-04, -2.428e-03)
                 0298      |      (-1.081e-04, -2.354e-03)
                 0299      |      (-1.157e-04, -2.285e-03)
                 0300      |      (-1.226e-04, -2.210e-03)
                 0301      |      (-1.272e-04, -2.140e-03)
                 0302      |      (-1.306e-04, -2.063e-03)
                 0303      |      (-1.324e-04, -1.990e-03)
                 0304      |      (-1.330e-04, -1.909e-03)
                 0305      |      (-1.324e-04, -1.833e-03)
                 0306      |      (-1.308e-04, -1.749e-03)
                 0307      |      (-1.284e-04, -1.670e-03)
                 0308      |      (-1.252e-04, -1.585e-03)
                 0309      |      (-1.216e-04, -1.506e-03)
                 0310      |      (-1.172e-04, -1.421e-03)
                 0311      |      (-1.128e-04, -1.342e-03)
                 0312      |      (-1.076e-04, -1.258e-03)
                 0313      |      (-1.024e-04, -1.181e-03)
                 0314      |      (-9.651e-05, -1.098e-03)
                 0315      |      (-9.065e-05, -1.024e-03)
                 0316      |      (-8.381e-05, -9.447e-04)
                 0317      |      (-7.700e-05, -8.744e-04)
                 0318      |      (-6.902e-05, -8.014e-04)
                 0319      |      (-6.107e-05, -7.382e-04)
                 0320      |      (-5.181e-05, -6.753e-04)
                 0321      |      (-4.268e-05, -6.238e-04)
                 0322      |      (-3.220e-05, -5.767e-04)
                 0323      |      (-2.207e-05, -5.430e-04)
                 0324      |      (-1.071e-05, -5.194e-04)
                 0325      |      (0.000e+00, -5.118e-04)
                 0326      |      (0.000e+00, -2.849e-03)
                 0327      |      (-8.070e-06, -2.847e-03)
                 0328      |      (-1.608e-05, -2.841e-03)
                 0329      |      (-2.396e-05, -2.832e-03)
                 0330      |      (-3.164e-05, -2.819e-03)
                 0331      |      (-3.907e-05, -2.802e-03)
                 0332      |      (-4.617e-05, -2.781e-03)
                 0333      |      (-5.286e-05, -2.757e-03)
                 0334      |      (-5.907e-05, -2.729e-03)
                 0335      |      (-6.472e-05, -2.697e-03)
                 0336      |      (-6.971e-05, -2.662e-03)
                 0337      |      (-7.398e-05, -2.623e-03)
                 0338      |      (-7.751e-05, -2.580e-03)
                 0339      |      (-8.045e-05, -2.533e-03)
                 0340      |      (-8.332e-05, -2.482e-03)
                 0341      |      (-8.698e-05, -2.428e-03)
                 0342      |      (-1.010e-04, -2.287e-03)
                 0343      |      (-1.130e-04, -2.142e-03)
                 0344      |      (-1.191e-04, -1.991e-03)
                 0345      |      (-1.202e-04, -1.833e-03)
                 0346      |      (-1.175e-04, -1.671e-03)
                 0347      |      (-1.121e-04, -1.507e-03)
                 0348      |      (-1.047e-04, -1.343e-03)
                 0349      |      (-9.567e-05, -1.181e-03)
                 0350      |      (-8.510e-05, -1.024e-03)
                 0351      |      (-7.259e-05, -8.743e-04)
                 0352      |      (-5.776e-05, -7.382e-04)
                 0353      |      (-4.047e-05, -6.237e-04)
                 0354      |      (-2.096e-05, -5.429e-04)
                 0355      |      (0.000e+00, -5.116e-04)
                 0356      |      (0.000e+00, -2.848e-03)
                 0357      |      (-3.463e-06, -2.848e-03)
                 0358      |      (-6.916e-06, -2.847e-03)
                 0359      |      (-1.036e-05, -2.844e-03)
                 0360      |      (-1.378e-05, -2.841e-03)
                 0361      |      (-1.716e-05, -2.837e-03)
                 0362      |      (-2.051e-05, -2.831e-03)
                 0363      |      (-2.382e-05, -2.825e-03)
                 0364      |      (-2.707e-05, -2.818e-03)
                 0365      |      (-3.027e-05, -2.810e-03)
                 0366      |      (-3.339e-05, -2.801e-03)
                 0367      |      (-3.644e-05, -2.791e-03)
                 0368      |      (-3.940e-05, -2.780e-03)
                 0369      |      (-4.227e-05, -2.768e-03)
                 0370      |      (-4.503e-05, -2.756e-03)
                 0371      |      (-4.769e-05, -2.742e-03)
                 0372      |      (-5.022e-05, -2.728e-03)
                 0373      |      (-5.262e-05, -2.712e-03)
                 0374      |      (-5.488e-05, -2.696e-03)
                 0375      |      (-5.700e-05, -2.679e-03)
                 0376      |      (-5.896e-05, -2.661e-03)
                 0377      |      (-6.077e-05, -2.641e-03)
                 0378      |      (-6.242e-05, -2.621e-03)
                 0379      |      (-6.391e-05, -2.600e-03)
                 0380      |      (-6.528e-05, -2.578e-03)
                 0381      |      (-6.654e-05, -2.555e-03)
                 0382      |      (-6.776e-05, -2.532e-03)
                 0383      |      (-6.900e-05, -2.507e-03)
                 0384      |      (-7.036e-05, -2.481e-03)
                 0385      |      (-7.193e-05, -2.455e-03)
                 0386      |      (-7.377e-05, -2.428e-03)
                 0387      |      (-8.003e-05, -2.357e-03)
                 0388      |      (-8.694e-05, -2.289e-03)
                 0389      |      (-9.391e-05, -2.214e-03)
                 0390      |      (-9.913e-05, -2.144e-03)
                 0391      |      (-1.033e-04, -2.066e-03)
                 0392      |      (-1.059e-04, -1.992e-03)
                 0393      |      (-1.076e-04, -1.911e-03)
                 0394      |      (-1.081e-04, -1.834e-03)
                 0395      |      (-1.077e-04, -1.750e-03)
                 0396      |      (-1.067e-04, -1.672e-03)
                 0397      |      (-1.048e-04, -1.586e-03)
                 0398      |      (-1.026e-04, -1.507e-03)
                 0399      |      (-9.968e-05, -1.421e-03)
                 0400      |      (-9.657e-05, -1.343e-03)
                 0401      |      (-9.278e-05, -1.258e-03)
                 0402      |      (-8.890e-05, -1.181e-03)
                 0403      |      (-8.426e-05, -1.098e-03)
                 0404      |      (-7.955e-05, -1.024e-03)
                 0405      |      (-7.391e-05, -9.447e-04)
                 0406      |      (-6.819e-05, -8.743e-04)
                 0407      |      (-6.135e-05, -8.013e-04)
                 0408      |      (-5.446e-05, -7.381e-04)
                 0409      |      (-4.633e-05, -6.750e-04)
                 0410      |      (-3.826e-05, -6.235e-04)
                 0411      |      (-2.892e-05, -5.763e-04)
                 0412      |      (-1.985e-05, -5.427e-04)
                 0413      |      (-9.640e-06, -5.190e-04)
                 0414      |      (0.000e+00, -5.114e-04)
                 0415      |      (0.000e+00, -2.847e-03)
                 0416      |      (-5.796e-06, -2.845e-03)
                 0417      |      (-1.154e-05, -2.840e-03)
                 0418      |      (-1.717e-05, -2.830e-03)
                 0419      |      (-2.264e-05, -2.817e-03)
                 0420      |      (-2.788e-05, -2.800e-03)
                 0421      |      (-3.285e-05, -2.779e-03)
                 0422      |      (-3.746e-05, -2.754e-03)
                 0423      |      (-4.167e-05, -2.726e-03)
                 0424      |      (-4.542e-05, -2.694e-03)
                 0425      |      (-4.865e-05, -2.659e-03)
                 0426      |      (-5.137e-05, -2.620e-03)
                 0427      |      (-5.364e-05, -2.577e-03)
                 0428      |      (-5.570e-05, -2.530e-03)
                 0429      |      (-5.803e-05, -2.480e-03)
                 0430      |      (-6.116e-05, -2.428e-03)
                 0431      |      (-7.339e-05, -2.290e-03)
                 0432      |      (-8.557e-05, -2.145e-03)
                 0433      |      (-9.302e-05, -1.993e-03)
                 0434      |      (-9.612e-05, -1.835e-03)
                 0435      |      (-9.590e-05, -1.672e-03)
                 0436      |      (-9.318e-05, -1.507e-03)
                 0437      |      (-8.852e-05, -1.343e-03)
                 0438      |      (-8.216e-05, -1.181e-03)
                 0439      |      (-7.402e-05, -1.024e-03)
                 0440      |      (-6.379e-05, -8.743e-04)
                 0441      |      (-5.116e-05, -7.380e-04)
                 0442      |      (-3.605e-05, -6.234e-04)
                 0443      |      (-1.874e-05, -5.425e-04)
                 0444      |      (0.000e+00, -5.112e-04)
                 0445      |      (0.000e+00, -2.846e-03)
                 0446      |      (-2.356e-06, -2.845e-03)
                 0447      |      (-4.704e-06, -2.844e-03)
                 0448      |      (-7.041e-06, -2.842e-03)
                 0449      |      (-9.360e-06, -2.838e-03)
                 0450      |      (-1.165e-05, -2.834e-03)
                 0451      |      (-1.392e-05, -2.829e-03)
                 0452      |      (-1.614e-05, -2.822e-03)
                 0453      |      (-1.832e-05, -2.815e-03)
                 0454      |      (-2.046e-05, -2.807e-03)
                 0455      |      (-2.253e-05, -2.798e-03)
                 0456      |      (-2.454e-05, -2.788e-03)
                 0457      |      (-2.648e-05, -2.777e-03)
                 0458      |      (-2.835e-05, -2.765e-03)
