

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  168      |      (2.384e-04, -2.116e-03)
                  169      |      (2.563e-04, -1.915e-03)
                  170      |      (1.769e-04, -1.197e-03)
                  171      |      (2.995e-05, -6.120e-04)
                  172      |      (-1.479e-05, -3.026e-04)
                  173      |      (0.000e+00, -1.939e-04)
                  174      |      (0.000e+00, -2.411e-03)
                  175      |      (3.630e-05, -2.404e-03)
                  176      |      (7.182e-05, -2.384e-03)
                  177      |      (1.059e-04, -2.351e-03)
                  178      |      (1.378e-04, -2.306e-03)
                  179      |      (1.668e-04, -2.250e-03)
                  180      |      (1.923e-04, -2.183e-03)
                  181      |      (2.137e-04, -2.107e-03)
                  182      |      (2.305e-04, -2.025e-03)
                  183      |      (2.427e-04, -1.936e-03)
                  184      |      (2.500e-04, -1.845e-03)
                  185      |      (2.370e-04, -1.486e-03)
                  186      |      (1.874e-04, -1.185e-03)
                  187      |      (1.001e-04, -8.278e-04)
                  188      |      (4.327e-05, -6.124e-04)
                  189      |      (2.436e-06, -4.087e-04)
                  190      |      (-9.658e-06, -3.026e-04)
                  191      |      (-7.822e-06, -2.153e-04)
                  192      |      (0.000e+00, -1.937e-04)
                  193      |      (0.000e+00, -2.284e-03)
                  194      |      (6.847e-05, -2.260e-03)
                  195      |      (1.315e-04, -2.190e-03)
                  196      |      (1.838e-04, -2.080e-03)
                  197      |      (2.215e-04, -1.938e-03)
                  198      |      (2.423e-04, -1.778e-03)
                  199      |      (1.947e-04, -1.171e-03)
                  200      |      (5.520e-05, -6.125e-04)
                  201      |      (-4.759e-06, -3.027e-04)
                  202      |      (0.000e+00, -1.935e-04)
                  203      |      (0.000e+00, -2.166e-03)
                  204      |      (3.277e-05, -2.160e-03)
                  205      |      (6.486e-05, -2.144e-03)
                  206      |      (9.571e-05, -2.118e-03)
                  207      |      (1.247e-04, -2.082e-03)
                  208      |      (1.512e-04, -2.037e-03)
                  209      |      (1.748e-04, -1.984e-03)
                  210      |      (1.950e-04, -1.923e-03)
                  211      |      (2.116e-04, -1.857e-03)
                  212      |      (2.244e-04, -1.786e-03)
                  213      |      (2.334e-04, -1.713e-03)
                  214      |      (2.333e-04, -1.417e-03)
                  215      |      (1.989e-04, -1.156e-03)
                  216      |      (1.236e-04, -8.231e-04)
                  217      |      (6.609e-05, -6.125e-04)
                  218      |      (1.797e-05, -4.097e-04)
                  219      |      (4.926e-08, -3.027e-04)
                  220      |      (-4.083e-06, -2.151e-04)
                  221      |      (0.000e+00, -1.933e-04)
                  222      |      (0.000e+00, -2.056e-03)
                  223      |      (6.118e-05, -2.037e-03)
                  224      |      (1.178e-04, -1.982e-03)
                  225      |      (1.656e-04, -1.894e-03)
                  226      |      (2.015e-04, -1.781e-03)
                  227      |      (2.238e-04, -1.651e-03)
                  228      |      (2.013e-04, -1.139e-03)
                  229      |      (7.571e-05, -6.120e-04)
                  230      |      (4.600e-06, -3.028e-04)
                  231      |      (0.000e+00, -1.932e-04)
                  232      |      (0.000e+00, -1.955e-03)
                  233      |      (2.905e-05, -1.951e-03)
                  234      |      (5.754e-05, -1.938e-03)
