              TABLE A-1.  RAW LABORATORY DATA (TTI)

Samples TTIK,  TTIL, and TTIN used for report 
S11= Vertical stress.  S33=Radial pressure (psi)
T in K
E11= Recover&ble vertical strain
E11P= Permanent vertical strain over 200 cycles 
SUCTION (psi)
VWVT  WCON  GAMMA
CYCLE= Cycle number (starting after preconditioning)



DRY BASE COURSE MATERIAL
   
                  CODE1            T      SUCTION         VWVT                     WCON              6AMMAD
                  114          30    7.700E-04    3.771E-04   1.154E-03   4.158E-04            800
                  135          30    9.633E-04    4.957E-04   2.441E-03   7.795E-04           1000
                 22.5          15    9.358E-05    2.713E-05   2.396E-03   8.254E-04           1200
                   45          15    5.595E-04    2.870E-04   2.465E-03   8.387E-04           1400
                   57          15    7.223E-04    3.979E-04   2.636E-03   8.476E-04           1600
                 67.5          15    8.067E-04    4.658E-04   2.930E-03   9.759E-04           1800
                   15           5    4.007E-04    2.458E-04   2.960E-03   1.094E-03           2000
                   19           5    4.863E-04    3.115E-04   3.052E-03   1.118E-03           2200
                 22.5           5    5.391E-04    3.628E-04   3.162E-03   1.130E-03           2400
                   30           5    6.378E-04    4.522E-04   3.400E-03   1.280E-03           2600
                  3.8           1    1.220E-04    1.167E-04   3.418E-03   1.410E-03           2800
                  4.5           1    1.495E-04    1.476E-04   3.418E-03   1.554E-03           3000
                    6           1    2.095E-04    1.779E-04   3.425E-03   1.631E-03           3200
                    8           1    2.727E-04    2.545E-04   3.473E-03   1.667E-03           3400
                   10           1    2.920E-04    2.520E-04   3.541E-03   1.783E-03           3600
                   12           1    3.357E-04    2.871E-04   3.626E-03   1.751E-03           3800
                   14           1    3.509E-04    3.285E-04   3.712E-03   1.961E-03           4000


               CODE1            T      SUCTION         VWVT           WCON              GAMMAD
                TTIH          298          5.5        0.098          0.044              133.29
                 S11          S33          E11          E33           E11P                E33P          CYCLE
                  33           30    5.208E-06    0.000E+00      5.000E-05           2.310E-05            200
                  45           30    3.463E-05    5.708E-05      1.837E-04           1.651E-04            400
                  90           30    6.988E-04    3.576E-04      1.880E-03           7.491E-04            600
                 114           30    1.016E-03    5.360E-04      4.808E-03           1.403E-03            800
                 135           30    1.113E-03    6.773E-04      6.958E-03           2.480E-03           1000
                22.5           15    1.425E-04    1.009E-04      7.011E-03           2.470E-03           1200
                  45           15    6.552E-04    4.280E-04      7.329E-03           2.543E-03           1400
                  57           15    7.456E-04    4.854E-04      7.763E-03           2.739E-03           1600
                67.5           15    7.619E-04    5.511E-04      8.372E-03           2.994E-03           1800
                  15            5    3.346E-04    2.835E-04      8.715E-03           3.366E-03           2000
                  19            5    3.835E-04    3.081E-04      8.910E-03           3.465E-03           2200
                22.5            5    3.988E-04    3.573E-04      9.081E-03           3.718E-03           2400
                  30            5    4.567E-04    4.277E-04      9.514E-03           4.323E-03           2600
                 3.8            1    4.575E-05    5.433E-05      9.490E-03           4.727E-03           2800
