ID,RockVoxel,BallVoxel,Reconstructed Volume,Actual Volume,Correction Need,Avg,,,,,
86,6.94E+06,1.63E+05,1378.72897,1134,0.82,,86,1.215810379,1.11337106,,
87,7.13E+06,1.63E+05,1417.564167,1134,0.80,,87,1.250056584,1.114430445,,
88,1.20E+07,1.63E+05,2385.959736,2140.1,0.90,,88,1.114882359,1.032109033,,
89,1.23E+07,1.63E+05,2447.968852,2140.1,0.87,,89,1.143857227,1.078007655,,
90,1.06E+07,1.63E+05,2110.69491,2140.1,1.01,,90,0.986259946,0.921575101,,
91,6.87E+06,1.63E+05,1364.677546,1364.2,1.00,,91,1.000350055,0.951997135,,
92,6.77E+06,1.63E+05,1345.43882,1364.2,1.01,,92,0.986247486,0.911166437,,
93,6.98E+06,1.63E+05,1387.712342,1364.2,0.98,,93,1.01723526,0.96148263,,
94,1.60E+07,1.63E+05,3184.327105,2950,0.93,,94,1.079432917,1.026527751,,
95,1.57E+07,1.63E+05,3110.393159,2950,0.95,,95,1.054370562,1.003429703,,
96,1.54E+07,1.63E+05,3069.848737,2950,0.96,,96,1.040626691,0.971196078,,
97,7.82E+06,1.63E+05,1553.487354,1381.2,0.89,,97,1.124737441,1.05920124,,
98,7.34E+06,1.63E+05,1457.850217,1381.2,0.95,,98,1.055495379,0.96181172,,
99,7.33E+06,1.63E+05,1457.373224,1381.2,0.95,,99,1.055150032,0.985995499,,
100,9.96E+06,1.63E+05,1979.22366,1713.8,0.87,,100,1.154874349,1.079856021,,
101,9.79E+06,1.63E+05,1944.820525,1713.8,0.88,,101,1.134800166,1.042643045,,
102,1.01E+07,1.63E+05,2012.315063,1713.8,0.85,,102,1.174183139,1.110854745,,
103,6.46E+06,1.63E+05,1284.661936,1296,1.01,,103,0.991251494,0.905214829,,
104,7.27E+06,1.63E+05,1444.633531,1296,0.90,,104,1.114686366,1.015523867,,
105,6.79E+06,1.63E+05,1350.208752,1296,0.96,,105,1.041827741,0.938059614,,
106,8.44E+06,1.63E+05,1676.988843,1526.2,0.91,,106,1.098800186,1.031518453,,
107,8.64E+06,1.63E+05,1716.857525,1526.2,0.89,,107,1.124923028,1.048797237,,
108,7.75E+06,1.63E+05,1540.906658,1526.2,0.99,,108,1.009636128,0.91567939,,
109,6.34E+06,1.63E+05,1259.778791,1176.6,0.93,,109,1.070694196,1.021639271,,
110,6.37E+06,1.63E+05,1266.079076,1176.6,0.93,,110,1.076048849,1.022842538,,
111,6.39E+06,1.63E+05,1269.139782,1176.6,0.93,,111,1.078650164,1.000810453,,
112,1.26E+07,1.63E+05,2506.400519,2131.5,0.85,,112,1.17588577,1.144214463,,
113,1.21E+07,1.63E+05,2401.85951,2131.5,0.89,,113,1.126840023,1.086469853,,
114,1.18E+07,1.63E+05,2352.172718,2131.5,0.91,,114,1.103529307,1.056651382,,
115,2.75E+07,1.63E+05,5473.099477,4510.5,0.82,,115,1.213413031,1.168720602,,
116,2.69E+07,1.63E+05,5348.485003,4510.5,0.84,,116,1.18578539,1.144026772,,
117,2.59E+07,1.63E+05,5145.365399,4510.5,0.88,,117,1.140752777,1.047815648,,
118,2.96E+07,1.63E+05,5880.531169,4050,0.69,,118,1.451983005,1.365790389,,
119,2.54E+07,1.63E+05,5042.016872,4050,0.80,,119,1.244942438,1.191773436,,
120,2.59E+07,1.63E+05,5150.532825,4050,0.79,,120,1.2717365,1.226884897,,
